"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 08:04:41 GMT 2024","Wed Apr 17 08:05:13 GMT 2024","31833","","Authentication tests","","Test authentication with user","","Test authentication with user",""
"passed","Wed Apr 17 08:04:23 GMT 2024","Wed Apr 17 08:05:23 GMT 2024","60169","","Smoke tests","","Homepage is visible","","Homepage is visible",""
"passed","Wed Apr 17 08:04:23 GMT 2024","Wed Apr 17 08:04:49 GMT 2024","25651","","Checkboxes tests","","Check checkbox 1","","Check checkbox 1",""
"passed","Wed Apr 17 08:04:49 GMT 2024","Wed Apr 17 08:05:35 GMT 2024","46352","","Checkboxes tests","","Uncheck checkbox 2","","Uncheck checkbox 2",""
"passed","Wed Apr 17 08:04:23 GMT 2024","Wed Apr 17 08:04:41 GMT 2024","17508","","Authentication tests","","Test authentication with login and password","","Test authentication with login and password",""
"passed","Wed Apr 17 08:04:23 GMT 2024","Wed Apr 17 08:05:04 GMT 2024","41135","","Drag and drop tests","","Drag and drop element","","Drag and drop element",""
